ts=1758637254835222 qid=8241362745359 sid=99717421-de1c-4de8-b5e2-d0209096bd83 allocs=7058 deallocs=0 total_bytes=676562 current_bytes=676562 max_bytes=676562 current_allocs=7058 max_allocs=7058 min_alloc_size=1 max_alloc_size=16912 first_ts=Some(1758637254826709) last_ts=Some(1758637254830316)
ts=1758637255835585 qid=8241362744964 sid=99717421-de1c-4de8-b5e2-d0209096bd83 allocs=16659 deallocs=0 total_bytes=1483838 current_bytes=1483838 max_bytes=1483838 current_allocs=16659 max_allocs=16659 min_alloc_size=1 max_alloc_size=16912 first_ts=Some(1758637255130902) last_ts=Some(1758637255232648)
ts=1758637255835670 qid=8241362745359 sid=99717421-de1c-4de8-b5e2-d0209096bd83 allocs=114 deallocs=0 total_bytes=21145 current_bytes=21145 max_bytes=21145 current_allocs=114 max_allocs=114 min_alloc_size=1 max_alloc_size=1264 first_ts=Some(1758637254928313) last_ts=Some(1758637255029937)
ts=1758637282419126 qid=8241362717889 sid=34a7ba65-8458-4fb2-aa9d-f5f0532b811c allocs=1861 deallocs=0 total_bytes=261577 current_bytes=261577 max_bytes=261577 current_allocs=1861 max_allocs=1861 min_alloc_size=1 max_alloc_size=16912 first_ts=Some(1758637282169796) last_ts=Some(1758637282372357)
ts=1758637283418345 qid=8241362717625 sid=34a7ba65-8458-4fb2-aa9d-f5f0532b811c allocs=4213 deallocs=0 total_bytes=433161 current_bytes=433161 max_bytes=433161 current_allocs=4213 max_allocs=4213 min_alloc_size=1 max_alloc_size=16912 first_ts=Some(1758637282474239) last_ts=Some(1758637282676456)
ts=1758637283418428 qid=8241362717016 sid=34a7ba65-8458-4fb2-aa9d-f5f0532b811c allocs=19142 deallocs=0 total_bytes=1624496 current_bytes=1624496 max_bytes=1624496 current_allocs=19142 max_allocs=19142 min_alloc_size=1 max_alloc_size=25168 first_ts=Some(1758637283081771) last_ts=Some(1758637283284553)
ts=1758637283418441 qid=8241362717320 sid=34a7ba65-8458-4fb2-aa9d-f5f0532b811c allocs=7368 deallocs=0 total_bytes=612122 current_bytes=612122 max_bytes=612122 current_allocs=7368 max_allocs=7368 min_alloc_size=1 max_alloc_size=18848 first_ts=Some(1758637282777674) last_ts=Some(1758637282980420)
ts=1758637285418350 qid=8241362715353 sid=e6d14685-40eb-45c0-a0e6-cadf2d1d6332 allocs=9237 deallocs=0 total_bytes=786310 current_bytes=786310 max_bytes=786310 current_allocs=9237 max_allocs=9237 min_alloc_size=1 max_alloc_size=16912 first_ts=Some(1758637284701639) last_ts=Some(1758637284802872)
ts=1758637319001555 qid=8241362681171 sid=00dd2fc5-5be9-415b-af14-3cc04eb6f140 allocs=17431 deallocs=0 total_bytes=1484826 current_bytes=1484826 max_bytes=1484826 current_allocs=17431 max_allocs=17431 min_alloc_size=1 max_alloc_size=22528 first_ts=Some(1758637318921030) last_ts=Some(1758637318927385)
ts=1758637319001634 qid=8241362681171 sid=7360ea06-7f48-43c5-af55-b0535e5d319b allocs=17425 deallocs=0 total_bytes=1483938 current_bytes=1483938 max_bytes=1483938 current_allocs=17425 max_allocs=17425 min_alloc_size=1 max_alloc_size=22528 first_ts=Some(1758637318921031) last_ts=Some(1758637318927511)
ts=1758637319001660 qid=8241362681282 sid=b81c545b-c5c6-406f-9887-cb98357dac7d allocs=17489 deallocs=0 total_bytes=1496888 current_bytes=1496888 max_bytes=1496888 current_allocs=17489 max_allocs=17489 min_alloc_size=1 max_alloc_size=22528 first_ts=Some(1758637318819747) last_ts=Some(1758637318920988)
ts=1758637319001684 qid=8241362681282 sid=b0d5daf4-77b1-4bdd-96eb-c4e1e689dff6 allocs=17713 deallocs=0 total_bytes=1532846 current_bytes=1532846 max_bytes=1532846 current_allocs=17713 max_allocs=17713 min_alloc_size=1 max_alloc_size=22528 first_ts=Some(1758637318819797) last_ts=Some(1758637318921185)
ts=1758637319001708 qid=8241362681292 sid=7360ea06-7f48-43c5-af55-b0535e5d319b allocs=17495 deallocs=0 total_bytes=1497773 current_bytes=1497773 max_bytes=1497773 current_allocs=17495 max_allocs=17495 min_alloc_size=1 max_alloc_size=22528 first_ts=Some(1758637318717800) last_ts=Some(1758637318819625)
ts=1758637319001733 qid=8241362681283 sid=00dd2fc5-5be9-415b-af14-3cc04eb6f140 allocs=17496 deallocs=0 total_bytes=1497918 current_bytes=1497918 max_bytes=1497918 current_allocs=17496 max_allocs=17496 min_alloc_size=1 max_alloc_size=22528 first_ts=Some(1758637318717801) last_ts=Some(1758637318819638)
ts=1758637320001575 qid=8241362680147 sid=7360ea06-7f48-43c5-af55-b0535e5d319b allocs=17427 deallocs=0 total_bytes=1484237 current_bytes=1484237 max_bytes=1484237 current_allocs=17427 max_allocs=17427 min_alloc_size=1 max_alloc_size=22528 first_ts=Some(1758637319937605) last_ts=Some(1758637319967278)
ts=1758637320001615 qid=8241362680355 sid=b81c545b-c5c6-406f-9887-cb98357dac7d allocs=17492 deallocs=0 total_bytes=1497392 current_bytes=1497392 max_bytes=1497392 current_allocs=17492 max_allocs=17492 min_alloc_size=1 max_alloc_size=22528 first_ts=Some(1758637319734766) last_ts=Some(1758637319836212)
